"studyid","workflowid","groupid","numerator","denominator","metric","score","flag","gsm_analysis_date"
"AA-AA-000-0000","kri0001","17",37,9328,0.00396655231560892,-0.374766886090107,0,2023-04-18
"AA-AA-000-0000","kri0001","69",33,8744,0.0037740164684355,-0.425738593465449,0,2023-04-18
"AA-AA-000-0000","kri0001","84",8,2126,0.00376293508936971,-0.211712501947978,0,2023-04-18
"AA-AA-000-0000","kri0001","142",10,2693,0.00371333085777943,-0.247269825777852,0,2023-04-18
"AA-AA-000-0000","kri0001","115",6,1652,0.0036319612590799,-0.20522123398366,0,2023-04-18
"AA-AA-000-0000","kri0001","104",23,6524,0.00352544451256898,-0.43787988393008,0,2023-04-18
"AA-AA-000-0000","kri0001","102",8,2355,0.00339702760084926,-0.284853113430682,0,2023-04-18
"AA-AA-000-0000","kri0001","53",7,2096,0.00333969465648855,-0.27790236129979,0,2023-04-18
"AA-AA-000-0000","kri0001","147",12,3684,0.00325732899022801,-0.385895086142989,0,2023-04-18
"AA-AA-000-0000","kri0001","35",12,3738,0.00321027287319422,-0.398763119882726,0,2023-04-18
"AA-AA-000-0000","kri0001","109",10,3284,0.00304506699147381,-0.406835620099528,0,2023-04-18
"AA-AA-000-0000","kri0001","61",41,13556,0.00302449100029507,-0.83494549488647,0,2023-04-18
"AA-AA-000-0000","kri0001","140",145,48028,0.00301907220787874,-1.57573966661824,0,2023-04-18
"AA-AA-000-0000","kri0001","131",15,4991,0.00300540973752755,-0.511333507723335,0,2023-04-18
"AA-AA-000-0000","kri0001","72",2,667,0.00299850074962519,-0.187550902051144,0,2023-04-18
"AA-AA-000-0000","kri0001","50",18,6044,0.00297816015883521,-0.570094959247553,0,2023-04-18
"AA-AA-000-0000","kri0001","103",9,3100,0.00290322580645161,-0.422861847226137,0,2023-04-18
"AA-AA-000-0000","kri0001","19",6,2116,0.00283553875236295,-0.360238581859891,0,2023-04-18
"AA-AA-000-0000","kri0001","13",13,4586,0.0028347143480157,-0.530528960966996,0,2023-04-18
"AA-AA-000-0000","kri0001","101",6,2237,0.00268216361198033,-0.39573616619588,0,2023-04-18
"AA-AA-000-0000","kri0001","126",2,754,0.0026525198938992,-0.232595034482345,0,2023-04-18
"AA-AA-000-0000","kri0001","38",2,757,0.00264200792602378,-0.234067635285992,0,2023-04-18
"AA-AA-000-0000","kri0001","110",2,759,0.00263504611330698,-0.23504664041015,0,2023-04-18
"AA-AA-000-0000","kri0001","45",2,775,0.00258064516129032,-0.242801597982011,0,2023-04-18
"AA-AA-000-0000","kri0001","26",12,4660,0.00257510729613734,-0.596699781905474,0,2023-04-18
"AA-AA-000-0000","kri0001","184",9,3558,0.00252951096121417,-0.530894798594322,0,2023-04-18
"AA-AA-000-0000","kri0001","51",19,7513,0.00252894982031146,-0.771627740671797,0,2023-04-18
"AA-AA-000-0000","kri0001","149",18,7178,0.00250766230147673,-0.760528675034929,0,2023-04-18
"AA-AA-000-0000","kri0001","9",4,1606,0.0024906600249066,-0.362118471902521,0,2023-04-18
"AA-AA-000-0000","kri0001","167",25,10471,0.00238754655715786,-0.961497586299983,0,2023-04-18
"AA-AA-000-0000","kri0001","36",2,840,0.00238095238095238,-0.272996547175877,0,2023-04-18
"AA-AA-000-0000","kri0001","63",18,7603,0.00236748651847955,-0.82541715233497,0,2023-04-18
"AA-AA-000-0000","kri0001","148",3,1328,0.00225903614457831,-0.35877487178899,0,2023-04-18
"AA-AA-000-0000","kri0001","106",6,2774,0.00216294160057678,-0.536212949917712,0,2023-04-18
"AA-AA-000-0000","kri0001","34",14,6550,0.00213740458015267,-0.831177133488831,0,2023-04-18
"AA-AA-000-0000","kri0001","41",3,1430,0.0020979020979021,-0.393584056292699,0,2023-04-18
"AA-AA-000-0000","kri0001","96",6,2874,0.00208768267223382,-0.55988641939273,0,2023-04-18
"AA-AA-000-0000","kri0001","23",8,3948,0.00202634245187437,-0.669677273189559,0,2023-04-18
"AA-AA-000-0000","kri0001","30",11,5558,0.00197912918315941,-0.806873329396657,0,2023-04-18
"AA-AA-000-0000","kri0001","172",42,21638,0.00194102967002496,-1.61162020994003,0,2023-04-18
"AA-AA-000-0000","kri0001","29",8,4346,0.00184077312471238,-0.745357371818321,0,2023-04-18
"AA-AA-000-0000","kri0001","173",36,19720,0.00182555780933063,-1.59518114152925,0,2023-04-18
"AA-AA-000-0000","kri0001","77",23,12743,0.00180491250098093,-1.29044938711438,0,2023-04-18
"AA-AA-000-0000","kri0001","92",18,10166,0.00177060790871533,-1.16468681580253,0,2023-04-18
"AA-AA-000-0000","kri0001","153",6,3516,0.00170648464163823,-0.698231824722574,0,2023-04-18
"AA-AA-000-0000","kri0001","67",12,7214,0.00166343221513723,-1.01291951616791,0,2023-04-18
"AA-AA-000-0000","kri0001","177",6,3614,0.00166021029330382,-0.717613535426031,0,2023-04-18
"AA-AA-000-0000","kri0001","113",9,5894,0.00152697658635901,-0.952166602382693,0,2023-04-18
"AA-AA-000-0000","kri0001","155",11,7322,0.00150232177000819,-1.0686320359232,0,2023-04-18
"AA-AA-000-0000","kri0001","114",7,4678,0.00149636596836255,-0.855591273246454,0,2023-04-18
"AA-AA-000-0000","kri0001","33",1,670,0.00149253731343284,-0.324143803062271,0,2023-04-18
"AA-AA-000-0000","kri0001","73",4,2687,0.00148864905098623,-0.649837781654918,0,2023-04-18
"AA-AA-000-0000","kri0001","117",1,672,0.00148809523809524,-0.325029497800975,0,2023-04-18
"AA-AA-000-0000","kri0001","123",1,673,0.00148588410104012,-0.325471626946586,0,2023-04-18
"AA-AA-000-0000","kri0001","152",8,5385,0.00148560817084494,-0.920728999315739,0,2023-04-18
"AA-AA-000-0000","kri0001","6",1,674,0.00148367952522255,-0.325913279141946,0,2023-04-18
"AA-AA-000-0000","kri0001","16",2,1411,0.00141743444365698,-0.480251183100402,0,2023-04-18
"AA-AA-000-0000","kri0001","54",18,12817,0.00140438480143559,-1.45259277540578,0,2023-04-18
"AA-AA-000-0000","kri0001","141",13,9390,0.00138445154419595,-1.25006915942014,0,2023-04-18
"AA-AA-000-0000","kri0001","161",3,2222,0.00135013501350135,-0.613748377744508,0,2023-04-18
"AA-AA-000-0000","kri0001","180",1,757,0.00132100396301189,-0.361033436486009,0,2023-04-18
"AA-AA-000-0000","kri0001","143",25,20038,0.00124762950394251,-1.8937741020966,0,2023-04-18
"AA-AA-000-0000","kri0001","3",2,1666,0.00120048019207683,-0.552780396381571,0,2023-04-18
"AA-AA-000-0000","kri0001","187",4,3719,0.00107555794568432,-0.85251405679881,0,2023-04-18
"AA-AA-000-0000","kri0001","32",2,2013,0.000993541977148535,-0.640060700518132,0,2023-04-18
"AA-AA-000-0000","kri0001","156",6,6566,0.000913798355162961,-1.17855096137597,0,2023-04-18
"AA-AA-000-0000","kri0001","168",1,1437,0.00069589422407794,-0.580204140774031,0,2023-04-18
"AA-AA-000-0000","kri0001","10",8,13112,0.00061012812690665,-1.78692372066217,0,2023-04-18
"AA-AA-000-0000","kri0001","85",4,10099,0.000396078819685117,-1.6433763686835,0,2023-04-18
"AA-AA-000-0000","kri0001","176",1,3344,0.000299043062200957,-0.965253183285332,0,2023-04-18
"AA-AA-000-0000","kri0001","127",0,3586,0,-1.06212674908046,0,2023-04-18
"AA-AA-000-0000","kri0001","144",0,2793,0,-0.937360549880931,0,2023-04-18
"AA-AA-000-0000","kri0001","81",0,2129,0,-0.818387588913845,0,2023-04-18
"AA-AA-000-0000","kri0001","18",0,1350,0,-0.651685545058275,0,2023-04-18
"AA-AA-000-0000","kri0001","158",0,708,0,-0.471941135017081,0,2023-04-18
"AA-AA-000-0000","kri0001","175",0,679,0,-0.462174618038051,0,2023-04-18
"AA-AA-000-0000","kri0001","99",0,662,0,-0.456352252558295,0,2023-04-18
"AA-AA-000-0000","kri0002","28",10,1755,0.0056980056980057,10.6475197087883,2,2023-04-18
"AA-AA-000-0000","kri0002","165",1,219,0.0045662100456621,2.99485694991137,1,2023-04-18
"AA-AA-000-0000","kri0002","154",1,407,0.00245700245700246,2.13568682991291,1,2023-04-18
"AA-AA-000-0000","kri0002","179",3,3130,0.000958466453674121,2.08641631234023,1,2023-04-18
"AA-AA-000-0000","kri0002","12",1,624,0.0016025641025641,1.66779632646501,0,2023-04-18
"AA-AA-000-0000","kri0002","132",1,671,0.0014903129657228,1.59641660327317,0,2023-04-18
"AA-AA-000-0000","kri0002","171",1,671,0.0014903129657228,1.59641660327317,0,2023-04-18
"AA-AA-000-0000","kri0002","50",4,6044,0.000661813368630046,1.84399696481858,0,2023-04-18
"AA-AA-000-0000","kri0002","9",1,1606,0.00062266500622665,0.878753625643393,0,2023-04-18
"AA-AA-000-0000","kri0002","84",1,2126,0.000470366886171214,0.689738803517983,0,2023-04-18
"AA-AA-000-0000","kri0002","58",6,14386,0.000417072153482553,1.50171672460709,0,2023-04-18
"AA-AA-000-0000","kri0002","173",8,19720,0.000405679513184584,1.68500827789609,0,2023-04-18
"AA-AA-000-0000","kri0002","167",4,10471,0.000382007449145258,1.11700405167703,0,2023-04-18
"AA-AA-000-0000","kri0002","64",1,2690,0.000371747211895911,0.541807195414399,0,2023-04-18
"AA-AA-000-0000","kri0002","59",2,5719,0.000349711488022382,0.713751519802097,0,2023-04-18
"AA-AA-000-0000","kri0002","128",1,2961,0.000337723741979061,0.483729631171686,0,2023-04-18
"AA-AA-000-0000","kri0002","103",1,3100,0.00032258064516129,0.456373996899418,0,2023-04-18
"AA-AA-000-0000","kri0002","11",2,6494,0.000307976593778873,0.606685035146417,0,2023-04-18
"AA-AA-000-0000","kri0002","22",1,3366,0.00029708853238265,0.407876800639092,0,2023-04-18
"AA-AA-000-0000","kri0002","140",14,48028,0.000291496626967602,1.48462921551317,0,2023-04-18
"AA-AA-000-0000","kri0002","89",1,3521,0.000284010224368077,0.381652689627938,0,2023-04-18
"AA-AA-000-0000","kri0002","51",2,7513,0.000266205244243312,0.486879460290578,0,2023-04-18
"AA-AA-000-0000","kri0002","139",11,41429,0.000265514494677641,1.13688456188008,0,2023-04-18
"AA-AA-000-0000","kri0002","5",8,30252,0.000264445325928864,0.96298728828818,0,2023-04-18
"AA-AA-000-0000","kri0002","75",2,7621,0.000262432751607401,0.475297086212791,0,2023-04-18
"AA-AA-000-0000","kri0002","94",6,24999,0.000240009600384015,0.698610975945357,0,2023-04-18
"AA-AA-000-0000","kri0002","29",1,4346,0.000230096640589047,0.261382988711004,0,2023-04-18
"AA-AA-000-0000","kri0002","121",1,4456,0.000224416517055655,0.24732055640888,0,2023-04-18
"AA-AA-000-0000","kri0002","56",4,18146,0.000220434255483302,0.474543104759141,0,2023-04-18
"AA-AA-000-0000","kri0002","26",1,4660,0.000214592274678112,0.222231643687504,0,2023-04-18
"AA-AA-000-0000","kri0002","114",1,4678,0.000213766566908935,0.22007628867248,0,2023-04-18
"AA-AA-000-0000","kri0002","76",2,9390,0.000212992545260916,0.308367886958724,0,2023-04-18
"AA-AA-000-0000","kri0002","138",1,4705,0.000212539851222104,0.21686027564191,0,2023-04-18
"AA-AA-000-0000","kri0002","164",1,4932,0.000202757502027575,0.190594927105334,0,2023-04-18
"AA-AA-000-0000","kri0002","190",1,4955,0.000201816347124117,0.188007422954338,0,2023-04-18
"AA-AA-000-0000","kri0002","43",4,23066,0.000173415416630538,0.208269624885463,0,2023-04-18
"AA-AA-000-0000","kri0002","137",1,5789,0.000172741406115046,0.101991229746057,0,2023-04-18
"AA-AA-000-0000","kri0002","62",4,23569,0.000169714455428741,0.1845299202164,0,2023-04-18
"AA-AA-000-0000","kri0002","146",1,5983,0.000167140230653518,0.0838617551041508,0,2023-04-18
"AA-AA-000-0000","kri0002","4",1,6192,0.000161498708010336,0.065001018517557,0,2023-04-18
"AA-AA-000-0000","kri0002","54",2,12817,0.000156042755715066,0.065255201033579,0,2023-04-18
"AA-AA-000-0000","kri0002","149",1,7178,0.000139314572304263,-0.0160159618822364,0,2023-04-18
"AA-AA-000-0000","kri0002","63",1,7603,0.000131527028804419,-0.0475541426928597,0,2023-04-18
"AA-AA-000-0000","kri0002","69",1,8744,0.000114364135407136,-0.124433201737799,0,2023-04-18
"AA-AA-000-0000","kri0002","143",2,20038,0.0000998103603154007,-0.282636286195105,0,2023-04-18
"AA-AA-000-0000","kri0002","85",1,10099,0.0000990197049212793,-0.204286036797361,0,2023-04-18
"AA-AA-000-0000","kri0002","92",1,10166,0.0000983671060397403,-0.207973364106906,0,2023-04-18
"AA-AA-000-0000","kri0002","172",2,21638,0.0000924299842869027,-0.343379690979023,0,2023-04-18
"AA-AA-000-0000","kri0002","10",1,13112,0.0000762660158633313,-0.351993022085046,0,2023-04-18
"AA-AA-000-0000","kri0002","166",1,13419,0.0000745212012817647,-0.365338367648216,0,2023-04-18
"AA-AA-000-0000","kri0002","8",1,17767,0.0000562841222491135,-0.531610370177658,0,2023-04-18
"AA-AA-000-0000","kri0002","170",1,20714,0.0000482765279521097,-0.626743007883185,0,2023-04-18
"AA-AA-000-0000","kri0002","189",1,22173,0.0000450998962702386,-0.670084005215483,0,2023-04-18
"AA-AA-000-0000","kri0002","86",0,15047,0,-0.805143678449873,0,2023-04-18
"AA-AA-000-0000","kri0002","61",0,13556,0,-0.764212623167579,0,2023-04-18
"AA-AA-000-0000","kri0002","118",0,12776,0,-0.741900866844909,0,2023-04-18
"AA-AA-000-0000","kri0002","77",0,12743,0,-0.740942094201547,0,2023-04-18
"AA-AA-000-0000","kri0002","91",0,11534,0,-0.704917675566045,0,2023-04-18
"AA-AA-000-0000","kri0002","141",0,9390,0,-0.636035304971288,0,2023-04-18
"AA-AA-000-0000","kri0002","17",0,9328,0,-0.633932030295697,0,2023-04-18
"AA-AA-000-0000","kri0002","71",0,7509,0,-0.568773664157436,0,2023-04-18
"AA-AA-000-0000","kri0002","155",0,7322,0,-0.561646800520434,0,2023-04-18
"AA-AA-000-0000","kri0002","67",0,7214,0,-0.557489248190404,0,2023-04-18
"AA-AA-000-0000","kri0002","7",0,7176,0,-0.556019012343717,0,2023-04-18
